modeliPhone 5s,image11,edge
tagStreet light,bbox166,edge
bbox166,image11,edge
tagWheel,bbox167,edge
bbox167,image11,edge
tagRoad,bbox168,edge
bbox168,image11,edge
tagFreeway,bbox169,edge
bbox169,image11,edge
tagTarmac,bbox170,edge
bbox170,image11,edge
tagAsphalt,bbox171,edge
bbox171,image11,edge
countryUnited States of America,stateOregon,edge
stateOregon,cityPortland,edge
cityPortland,image11,edge
modeliPhone 7,image12,edge
tagBuilding,bbox172,edge
bbox172,image12,edge
tagLandscape,bbox173,edge
bbox173,image12,edge
tagOutdoors,bbox174,edge
bbox174,image12,edge
tagNature,bbox175,edge
bbox175,image12,edge
tagScenery,bbox176,edge
bbox176,image12,edge
tagAerial View,bbox177,edge
bbox177,image12,edge
tagPanoramic,bbox178,edge
bbox178,image12,edge
countryChina,stateShaanxi,edge
stateShaanxi,cityFamen,edge
cityFamen,image12,edge
modelHERO4 Session,image13,edge
tagNature,bbox179,edge
bbox179,image13,edge
tagPlant,bbox180,edge
bbox180,image13,edge
tagTree,bbox181,edge
bbox181,image13,edge
tagSlope,bbox182,edge
bbox182,image13,edge
tagOutdoors,bbox183,edge
bbox183,image13,edge
tagSnow,bbox184,edge
bbox184,image13,edge
country,state of,edge
state of,city of,edge
city of,image13,edge
modeliPhone 5s,image14,edge
tagBuilding,bbox185,edge
bbox185,image14,edge
tagPerson,bbox186,edge
bbox186,image14,edge
tagPerson,bbox187,edge
bbox187,image14,edge
tagPeople,bbox188,edge
bbox188,image14,edge
tagHuman,bbox189,edge
bbox189,image14,edge
tagTeam,bbox190,edge
bbox190,image14,edge
tagTeam Sport,bbox191,edge
bbox191,image14,edge
tagSport,bbox192,edge
bbox192,image14,edge
tagSports,bbox193,edge
bbox193,image14,edge
tagBasketball,bbox194,edge
bbox194,image14,edge
tagBasketball Court,bbox195,edge
bbox195,image14,edge
tagIndoors,bbox196,edge
bbox196,image14,edge
countryUnited States of America,stateWashington,edge
stateWashington,cityBellevue,edge
cityBellevue,image14,edge
model,image15,edge
